"id","地区","房价（万）","配置","大小（平米）","单价（元）","方位","层数","装修","其他"
"1","万龙第十城","50","2室1厅1卫","80","6250","南北","高层","简装修","宽城"
"2","天富家园","160","3室2厅2卫","150","10667","南北","中层","精装修","二道"
"3","万龙世纪城","118","2室2厅1卫","105","11238","南北","高层","精装修","经开"
"4","钻石城","58","2室1厅1卫","85","6824","南北","中层","精装修","二道"
"5","诺睿德国际商务广场","89.8","2室1厅1卫","74.32","12083","南北","低层","精装修","净月"
"6","羊草沟小区","38","2室1厅1卫","55","6909","南北","高层","精装修","二道"
"7","怡众名城","120","3室2厅2卫","115","10435","南北","高层","中装修","高新"
"8","中海莱茵东郡","230","4室2厅2卫","198.93","11562","南北","高层","豪华装修","净月"
"9","亚泰樱花苑","109","2室2厅1卫","91","11978","南北","中层","精装修","二道"
"10","亚泰梧桐公馆","48","1室1厅1卫","48.22","9954","南","低层","精装修","二道"
"11","亚泰樱花苑","165","3室2厅2卫","144.14","11447","南北","高层","精装修","二道"
"12","怡众名城","96","2室2厅1卫","82","11707","南北","高层","精装修","高新"
"13","万龙第十城","53","2室2厅1卫","86","6163","南北","中层","精装修","宽城"
"14","市政府宿舍","46.8","2室1厅1卫","65","7200","南北","高层","简装修","南关"
"15","中信城浅山","120","3室2厅2卫","130","9231","南北","中层","豪华装修","净月"
"16","恒大名都","98","2室2厅1卫","101","9703","南北","高层","精装修","高新"
"17","保利香槟","215","3室2厅2卫","130","16538","南北","中层","豪华装修","净月"
"18","好景山庄","210","3室2厅2卫","153.84","13651","南北","高层","精装修","南关"
"19","经开五区","55","2室2厅1卫","89","6180","南北","高层","精装修","经开"
"20","车城名仕花园","52","2室1厅1卫","53","9811","南北","高层","精装修","朝阳"
"21","中海凤凰熙岸","115","2室2厅1卫","89.1","12907","南北","中层","精装修","南关"
"22","东方之珠龙兴苑","148","3室2厅1卫","145","10207","南北","高层","精装修","二道"
"23","万龙丽水湾","170","3室2厅2卫","140","12143","南","低层","精装修","高新"
"24","御景名家","105","2室2厅1卫","86.8","12097","南北","低层","精装修","绿园"
"25","天嘉水晶城","39.8","1室1厅1卫","49","8122","南","中层","简装修","绿园"
"26","蓝调倾城","80","2室1厅1卫","78","10256","南北","高层","精装修","绿园"
"27","太阳世家","169","3室2厅2卫","158.47","10664","东","低层","精装修","南关"
"28","远创樾府","45","1室1厅1卫","50","9000","南","中层","精装修","汽开"
"29","安华美域","69.8","2室2厅1卫","84.6","8251","南北","中层","精装修","经开"
"30","阳光水郡","102","2室2厅1卫","105","9714","南北","中层","毛坯","二道"
"31","钜城国际中心","140","3室2厅2卫","116.49","12018","南北","低层","毛坯","南关"
"32","首地首城","185","3室2厅2卫","143","12937","南北","高层","精装修","经开"
"33","电力小区","60","2室1厅1卫","72","8333","南北","中层","精装修","南关"
"34","轻铁湖西花园","45","2室1厅1卫","62","7258","南北","低层","精装修","绿园"
"35","银湖柳苑","66","2室1厅1卫","72.71","9077","南","高层","精装修","净月"
"36","天旺名都","110","3室2厅1卫","97.8","11247","南北","高层","精装修","高新"
"37","热电二区","100","2室2厅1卫","100","10000","南北","高层","豪华装修","二道"
"38","保利香槟","175","3室2厅2卫","130.72","13387","南北","低层","豪华装修","净月"
"39","中海净月华庭","110","2室2厅1卫","86","12791","南北","中层","豪华装修","净月"
"40","新星宇和邑","115","2室2厅1卫","101","11386","南北","低层","精装修","经开"
"41","至善小区","39","2室1厅1卫","58","6724","东西","中层","精装修","南关"
"42","万龙国际城","74","2室2厅1卫","88","8409","南北","高层","毛坯","宽城"
"43","中海净月华庭","120","3室2厅1卫","107.6","11152","南北","中层","豪华装修","净月"
"44","东城左岸","71","2室1厅1卫","89","7978","西北","低层","精装修","二道"
"45","翡翠花溪","130","2室2厅1卫","97.59","13321","南北","中层","精装修","高新"
"46","民丰小区","43.2","2室1厅1卫","55","7855","南北","低层","豪华装修","二道"
"47","中环十区","40.8","1室1厅1卫","55","7418","西","低层","精装修","宽城"
"48","东田青年城","75.1","2室2厅1卫","77","9753","南","中层","精装修","宽城"
"49","中海国际社区","105","2室2厅1卫","88","11932","南北","低层","精装修","净月"
"50","恒盛豪庭","120","3室2厅2卫","162","7407","南北","高层","毛坯","高新"
"51","月伴林湾","47","1室1厅1卫","53","8868","南北","高层","精装修","经开"
"52","金穗花园","196","7室3厅4卫","287.37","6820","南北","高层","精装修","净月"
"53","中信城中央公园","158","3室2厅2卫","140","11286","南北","高层","豪华装修","净月"
"54","卫星花园","66.5","2室2厅1卫","84.2","7898","南北","高层","精装修","南关"
"55","亚泰樱花苑","115.5","2室2厅1卫","90","12833","南北","中层","精装修","二道"
"56","万科蓝山","115","2室1厅1卫","88","13068","南北","中层","精装修","二道"
"57","中信城中央公园别墅","480","4室3厅5卫","208","23077","南","低层","豪华装修","净月"
"58","保利春天里","125","2室2厅1卫","91","13736","南北","高层","精装修","高新"
"59","新兴红旗嘉园","138","3室2厅1卫","143","9650","南北","中层","精装修","高新"
